Time,Mean
10/5/16,0.035042416
10/6/16,0.028785979
10/7/16,0.041565787
10/8/16,0.026863284
10/9/16,0.042128962
10/10/16,0.028362725
10/11/16,0.048916847
10/12/16,0.034518767
10/13/16,0.056374811
10/14/16,0.050435804
10/15/16,0.0401541
10/16/16,0.039950121
10/17/16,-1.27E+30
10/18/16,0.035286117
10/19/16,0.038073208
10/20/16,0.039385814
10/21/16,0.020168118
10/22/16,0.039024908
10/23/16,0.022194618
10/24/16,0.037116379
10/25/16,0.031312157
10/26/16,0.024993645
10/27/16,0.03497383
10/28/16,0.03714677
10/29/16,0.037277952
10/30/16,0.024302708
10/31/16,0.044170775
11/1/16,0.045442473
11/2/16,0.040601555
11/3/16,0.03573576
11/4/16,0.037665941
11/5/16,0.047827769
11/6/16,0.022678997
11/7/16,0.03151419
11/8/16,0.033041369
11/9/16,0.028956492
11/10/16,0.042039104
11/11/16,0.041123975
11/12/16,0.043706138
11/13/16,0.032834344
11/14/16,0.044180334
11/15/16,0.032565966
11/16/16,0.036844667
11/17/16,0.025712725
11/18/16,-1.27E+30
11/19/16,0.033904217
11/20/16,0.029200081
11/21/16,0.046691392
11/22/16,0.033914279
11/23/16,0.047927324
11/24/16,0.043586448
11/25/16,0.050212242
11/26/16,0.035258111
11/27/16,0.028099522
11/28/16,0.041082434
11/29/16,0.023525048
11/30/16,0.038517296
12/1/16,0.046345118
12/2/16,0.036351699
12/3/16,0.03040394
12/4/16,0.037022233
12/5/16,0.030279223
12/6/16,0.027794996
12/7/16,0.024949092
12/8/16,0.025213575
12/9/16,0.037730474
12/10/16,0.026871596
12/11/16,0.040707987
12/12/16,0.036174547
12/13/16,0.027229909
12/14/16,0.040656578
12/15/16,0.023084905
12/16/16,0.021506265
12/17/16,0.026299086
12/18/16,0.024092333
12/19/16,0.018582501
12/20/16,-1.27E+30
12/21/16,0.033500478
12/22/16,0.039246626
12/23/16,0.040401544
12/24/16,0.029821931
12/25/16,0.045131456
12/26/16,0.032397773
12/27/16,0.044859748
12/28/16,0.0406904
12/29/16,0.031656027
12/30/16,0.042681523
12/31/16,0.058175255
1/1/17,0.032859758
1/2/17,0.023548855
1/3/17,0.020676995
1/4/17,0.044203397
1/5/17,0.043644607
1/6/17,0.043086924
1/7/17,0.043587863
1/8/17,0.03460139
1/9/17,0.028528357
1/10/17,0.029594518
1/11/17,0.019999107
1/12/17,0.030940574
1/13/17,0.028847329
1/14/17,0.033971455
1/15/17,0.020608716
1/16/17,0.019484364
1/17/17,0.020661607
1/18/17,0.012919239
1/19/17,0.022192463
1/20/17,0.03190475
1/21/17,-1.27E+30
1/22/17,0.023889868
1/23/17,0.028207172
1/24/17,0.027596589
1/25/17,0.030558342
1/26/17,0.031268567
1/27/17,0.033445165
1/28/17,0.028647278
1/29/17,0.02609352
1/30/17,0.041158058
1/31/17,0.033498514
2/1/17,0.042463068
2/2/17,0.023517679
2/3/17,0.025982423
2/4/17,0.033328764
2/5/17,0.026410308
2/6/17,0.028550325
2/7/17,0.065900661
2/8/17,0.042441435
2/9/17,0.03590472
2/10/17,0.045594979
2/11/17,0.038689364
2/12/17,0.030980196
2/13/17,0.028818987
2/14/17,0.024464421
2/15/17,0.018789813
2/16/17,0.032789104
2/17/17,0.029621664
2/18/17,0.036550466
2/19/17,0.024781968
2/20/17,0.028262287
2/21/17,0.025389664
2/22/17,-1.27E+30
2/23/17,0.03918286
2/24/17,0.030750133
2/25/17,0.043798383
2/26/17,0.029662216
2/27/17,0.049060393
2/28/17,0.037450787
3/1/17,0.031946931
3/2/17,0.036125794
3/3/17,0.025074339
3/4/17,0.041826438
3/5/17,0.029462133
3/6/17,0.03658339
3/7/17,0.027525716
3/8/17,0.022414627
3/9/17,0.038198456
3/10/17,0.032640874
3/11/17,0.049740277
3/12/17,-1.27E+30
3/17/17,0.031593226
3/18/17,0.01379146
3/19/17,0.068470299
3/20/17,0.034184847
3/21/17,0.02884277
3/22/17,0.038251825
3/23/17,0.031531282
3/24/17,0.024439577
3/25/17,0.030174704
3/26/17,-1.27E+30
3/27/17,0.042034995
3/28/17,0.02422891
3/29/17,0.040982254
